id,sentence,subject,relation,object,evidence,target_output,split
24,النائب عبداللطيف عبدالوهاب عبدالرحمن مبارك العميري.,عبداللطيف عبدالوهاب عبدالرحمن مبارك العميري,position_held,النائب,النائب عبداللطيف عبدالوهاب عبدالرحمن مبارك العميري,<bor> عبداللطيف عبدالوهاب عبدالرحمن مبارك العميري <per> النائب <concept> position held <rt> النائب عبداللطيف عبدالوهاب عبدالرحمن مبارك العميري <e>,validation
25,مطلق محمد صعصيع الشليمي نايب سابق في مجلس الامه الكويتي.,مطلق محمد صعصيع الشليمي,position_held,نايب سابق في مجلس الامه الكويتي,نايب سابق في مجلس الامه الكويتي,<bor> مطلق محمد صعصيع الشليمي <per> نايب سابق في مجلس الامه الكويتي <concept> position held <rt> نايب سابق في مجلس الامه الكويتي <e>,train
26,سعد الحتيرش أمير بقعاء.,سعد الحتيرش,position_held,أمير بقعاء,أمير بقعاء,<bor> سعد الحتيرش <per> أمير بقعاء <concept> position held <rt> أمير بقعاء <e>,train
27,كان محمد صقر المعوشرجي أول وزير للأوقاف بعد الاحتلال العراقي.,محمد صقر المعوشرجي,position_held,وزير للأوقاف,كان أول وزير للأوقاف,<bor> محمد صقر المعوشرجي <per> وزير للأوقاف <concept> position held <rt> كان أول وزير للأوقاف <e>,test
28,راشد عوض مطلق الجويسري سياسي.,راشد عوض مطلق الجويسري,position_held,سياسي,سياسي,<bor> راشد عوض مطلق الجويسري <per> سياسي <concept> position held <rt> سياسي <e>,train
29,كان النائب الأسبق في مجلس الأمة فلاح مطلق هذال مقدن الصواغ العازمي.,فلاح مطلق هذال مقدن الصواغ العازمي,position_held,النائب الأسبق في مجلس الأمة,كان النائب الأسبق في مجلس الأمة,<bor> فلاح مطلق هذال مقدن الصواغ العازمي <per> النائب الأسبق في مجلس الأمة <concept> position held <rt> كان النائب الأسبق في مجلس الأمة <e>,train
30,العقيد فيصل الديحاني مدير ادارة العلاقات العامة والاعلام الامني في وزارة الداخلية.,فيصل الديحاني,position_held,مدير ادارة العلاقات العامة والاعلام الامني في وزارة الداخلية,مدير ادارة العلاقات العامة والاعلام الامني في وزارة الداخلية,<bor> فيصل الديحاني <per> مدير ادارة العلاقات العامة والاعلام الامني في وزارة الداخلية <concept> position held <rt> مدير ادارة العلاقات العامة والاعلام الامني في وزارة الداخلية <e>,train
31,خالد حسين عبد علي عبد الرحيم الشطي نايب سابق في مجلس الامه الكويتي.,خالد حسين عبد علي عبد الرحيم الشطي,position_held,نايب سابق في مجلس الامه الكويتي,نايب سابق في مجلس الامه الكويتي,<bor> خالد حسين عبد علي عبد الرحيم الشطي <per> نايب سابق في مجلس الامه الكويتي <concept> position held <rt> نايب سابق في مجلس الامه الكويتي <e>,train
32,أصبح ناصر صنهات العصيمي مختاراً لمنطقة خيطان.,ناصر صنهات العصيمي,position_held,مختاراً لمنطقة خيطان,أصبح ناصر صنهات العصيمي مختاراً لمنطقة خيطان,<bor> ناصر صنهات العصيمي <per> مختاراً لمنطقة خيطان <concept> position held <rt> أصبح ناصر صنهات العصيمي مختاراً لمنطقة خيطان <e>,train
33,نواف بهيش سعد هواش العازمي عضو مجلس الامه الكويتي.,نواف بهيش سعد هواش العازمي,position_held,عضو مجلس الامه الكويتي,عضو مجلس الامه الكويتي,<bor> نواف بهيش سعد هواش العازمي <per> عضو مجلس الامه الكويتي <concept> position held <rt> عضو مجلس الامه الكويتي <e>,train
34,المهندس جراح المطيري هو نايب المدير العام.,جراح المطيري,position_held,نايب المدير العام,هو نايب المدير العام,<bor> جراح المطيري <per> نايب المدير العام <concept> position held <rt> هو نايب المدير العام <e>,test
35,علي احمد ابراهيم احمد البغلي هو وزير كويتي سابق.,علي احمد ابراهيم احمد البغلي,position_held,وزير كويتي سابق,هو وزير كويتي سابق,<bor> علي احمد ابراهيم احمد البغلي <per> وزير كويتي سابق <concept> position held <rt> هو وزير كويتي سابق <e>,train
36,مريم عقيل هاشم العقيل وزيرة للشؤون الاجتماعية ووزيرة دولة للشؤون الاقتصادية.,مريم عقيل هاشم العقيل,position_held,وزيره للشوون الاجتماعيه,وزيرة للشؤون الاجتماعية,<bor> مريم عقيل هاشم العقيل <per> وزيره للشوون الاجتماعيه <concept> position held <rt> وزيرة للشؤون الاجتماعية <e>,train
37,الرئيس التنفيذي لشركة نفط الكويت هو احمد العيدان.,احمد العيدان,position_held,الرئيس التنفيذي لشركة نفط الكويت,الرئيس التنفيذي لشركة نفط الكويت هو احمد العيدان,<bor> احمد العيدان <per> الرئيس التنفيذي لشركة نفط الكويت <concept> position held <rt> الرئيس التنفيذي لشركة نفط الكويت هو احمد العيدان <e>,train
38,فيصل الحجي بوخضور هو السفير الكويتي الأسبق في البحرين.,فيصل الحجي بوخضور,position_held,السفير الكويتي الاسبق,هو السفير الكويتي الأسبق,<bor> فيصل الحجي بوخضور <per> السفير الكويتي الاسبق <concept> position held <rt> هو السفير الكويتي الأسبق <e>,train
39,عبدلله عبدالصمد معرفي وزير الاسكان.,عبدلله عبدالصمد معرفي,position_held,وزير الاسكان,وزير الاسكان,<bor> عبدلله عبدالصمد معرفي <per> وزير الاسكان <concept> position held <rt> وزير الاسكان <e>,train
40,عمار محمد عمار لبدان العجمي سياسي.,عمار محمد عمار لبدان العجمي,position_held,سياسي,سياسي,<bor> عمار محمد عمار لبدان العجمي <per> سياسي <concept> position held <rt> سياسي <e>,train
41,بدر فهد علي الدويله وزير كويتي سابق.,بدر فهد علي الدويله,position_held,وزير كويتي سابق,وزير كويتي سابق,<bor> بدر فهد علي الدويله <per> وزير كويتي سابق <concept> position held <rt> وزير كويتي سابق <e>,train
42,علي ثنيان صالح الأذينة سياسي.,علي ثنيان صالح الأذينة,position_held,سياسي,سياسي,<bor> علي ثنيان صالح الأذينة <per> سياسي <concept> position held <rt> سياسي <e>,test
43,تم تعيين خالد محمد العجمي مديرا للموارد البشريه.,خالد محمد العجمي,position_held,مدير الموارد البشريه,تم تعيين خالد محمد العجمي مديرا للموارد البشريه,<bor> خالد محمد العجمي <per> مدير الموارد البشريه <concept> position held <rt> تم تعيين خالد محمد العجمي مديرا للموارد البشريه <e>,train
44,محمد عبد المحسن فراج العصيمي سياسي.,محمد عبد المحسن فراج العصيمي,position_held,سياسي,سياسي,<bor> محمد عبد المحسن فراج العصيمي <per> سياسي <concept> position held <rt> سياسي <e>,train
45,راشد صالح التوحيد عضو مجلس الامه الاسبق.,راشد صالح التوحيد,position_held,عضو مجلس الامه الاسبق,عضو مجلس الامه الاسبق,<bor> راشد صالح التوحيد <per> عضو مجلس الامه الاسبق <concept> position held <rt> عضو مجلس الامه الاسبق <e>,train
46,عوده عوده الرويعي هو واحد من 20 نائباً سابقاً حافظوا على مقاعدهم الانتخابية.,عوده عوده الرويعي,position_held,نائب سابق,هو واحد من 20 نائباً سابقاً,<bor> عوده عوده الرويعي <per> نائب سابق <concept> position held <rt> هو واحد من 20 نائباً سابقاً <e>,train
47,ثامر سعد غيث السويط الظفيري نائب مجلس الأمة الكويتي.,ثامر سعد غيث السويط الظفيري,position_held,نائب مجلس الأمة الكويتي,نائب مجلس الأمة الكويتي,<bor> ثامر سعد غيث السويط الظفيري <per> نائب مجلس الأمة الكويتي <concept> position held <rt> نائب مجلس الأمة الكويتي <e>,validation
48,الشيخ ثامر علي صباح السالم الصباح وزير الداخليه.,الشيخ ثامر علي صباح السالم الصباح,position_held,وزير الداخليه,وزير الداخليه,<bor> الشيخ ثامر علي صباح السالم الصباح <per> وزير الداخليه <concept> position held <rt> وزير الداخليه <e>,test
49,تم تعيين الدكتور نايف الرومي محافظا لهيئة تقويم التعليم العام.,نايف الرومي,position_held,محافظ لهيئة تقويم التعليم العام,تم تعيين الدكتور نايف الرومي محافظا لهيئة تقويم التعليم العام,<bor> نايف الرومي <per> محافظ لهيئة تقويم التعليم العام <concept> position held <rt> تم تعيين الدكتور نايف الرومي محافظا لهيئة تقويم التعليم العام <e>,test
50,الحميدي السبيعي نائب سابق في مجلس الأمة الكويتي.,الحميدي السبيعي,position_held,نائب سابق في مجلس الأمة الكويتي,نائب سابق في مجلس الأمة الكويتي,<bor> الحميدي السبيعي <per> نائب سابق في مجلس الأمة الكويتي <concept> position held <rt> نائب سابق في مجلس الأمة الكويتي <e>,test
51,مفلح العازمي سياسي.,مفلح العازمي,position_held,سياسي,مفلح العازمي سياسي,<bor> مفلح العازمي <per> سياسي <concept> position held <rt> مفلح العازمي سياسي <e>,train
52,انتخب محمد رفيع ضمن هذا المجلس.,محمد رفيع,position_held,عضو في المجلس,انتخب محمد رفيع ضمن هذا المجلس,<bor> محمد رفيع <per> عضو في المجلس <concept> position held <rt> انتخب محمد رفيع ضمن هذا المجلس <e>,test
53,يوسف المطيري المتحدث باسم وزاره الشوون الاجتماعيه.,يوسف المطيري,position_held,المتحدث باسم وزاره الشوون الاجتماعيه,المتحدث باسم وزاره الشوون الاجتماعيه,<bor> يوسف المطيري <per> المتحدث باسم وزاره الشوون الاجتماعيه <concept> position held <rt> المتحدث باسم وزاره الشوون الاجتماعيه <e>,test
54,عبد الله حمد العجمي سياسي.,عبد الله حمد العجمي,position_held,سياسي,سياسي,<bor> عبد الله حمد العجمي <per> سياسي <concept> position held <rt> سياسي <e>,validation
55,عاليه فيصل حمود زيد الخالد نايب سابق في مجلس الامه الكويتي.,عاليه فيصل حمود زيد الخالد,position_held,نايب سابق في مجلس الامه الكويتي,نايب سابق في مجلس الامه الكويتي,<bor> عاليه فيصل حمود زيد الخالد <per> نايب سابق في مجلس الامه الكويتي <concept> position held <rt> نايب سابق في مجلس الامه الكويتي <e>,train
56,مبارك بنيه الخرينج رئيس لجنة العلاقات المصرية الكويتية في مجلس الأمة الكويتي.,مبارك بنيه الخرينج,position_held,رئيس لجنة العلاقات المصرية الكويتية في مجلس الأمة الكويتي,رئيس لجنة العلاقات المصرية الكويتية في مجلس الأمة الكويتي,<bor> مبارك بنيه الخرينج <per> رئيس لجنة العلاقات المصرية الكويتية في مجلس الأمة الكويتي <concept> position held <rt> رئيس لجنة العلاقات المصرية الكويتية في مجلس الأمة الكويتي <e>,train
57,عبدالله متعب مسفر مرزوق العرادة كان عضوا في مجلس الأمة الكويتي.,عبدالله متعب مسفر مرزوق العراده,position_held,عضو في مجلس الأمة الكويتي,كان عضوا في مجلس الأمة الكويتي,<bor> عبدالله متعب مسفر مرزوق العراده <per> عضو في مجلس الأمة الكويتي <concept> position held <rt> كان عضوا في مجلس الأمة الكويتي <e>,train
58,تم تعيين محمد ابطيحان الدويهيس وزيرا للتخطيط.,محمد ابطيحان الدويهيس,position_held,وزير التخطيط,تم تعيين محمد ابطيحان الدويهيس وزيرا للتخطيط,<bor> محمد ابطيحان الدويهيس <per> وزير التخطيط <concept> position held <rt> تم تعيين محمد ابطيحان الدويهيس وزيرا للتخطيط <e>,test
59,مفرج نهار مفرج خلف المطيري سياسي.,مفرج نهار مفرج خلف المطيري,position_held,سياسي,سياسي,<bor> مفرج نهار مفرج خلف المطيري <per> سياسي <concept> position held <rt> سياسي <e>,train
60,عبدالله المسلماني محامي الدوله.,عبدالله المسلماني,position_held,محامي الدوله,محامي الدوله,<bor> عبدالله المسلماني <per> محامي الدوله <concept> position held <rt> محامي الدوله <e>,train
61,ماجد مساعد عوض مطلق الرشاش المطيري نائب في مجلس الأمة الكويتي.,ماجد مساعد عوض مطلق الرشاش المطيري,position_held,نائب في مجلس الأمة الكويتي,نائب في مجلس الأمة الكويتي,<bor> ماجد مساعد عوض مطلق الرشاش المطيري <per> نائب في مجلس الأمة الكويتي <concept> position held <rt> نائب في مجلس الأمة الكويتي <e>,train
62,ماجد مساعد المطيري عضو مجلس الأمة.,ماجد مساعد المطيري,position_held,عضو مجلس الأمة,عضو مجلس الأمة,<bor> ماجد مساعد المطيري <per> عضو مجلس الأمة <concept> position held <rt> عضو مجلس الأمة <e>,train
63,أنور عراك عنتر عواد الفكر الظفيري نائب سابق في مجلس الأمة الكويتي.,أنور عراك عنتر عواد الفكر الظفيري,position_held,نائب سابق في مجلس الأمة الكويتي,نائب سابق في مجلس الأمة الكويتي,<bor> أنور عراك عنتر عواد الفكر الظفيري <per> نائب سابق في مجلس الأمة الكويتي <concept> position held <rt> نائب سابق في مجلس الأمة الكويتي <e>,validation
64,محمد عبدالرحمن بوزبر وزير العدل ووزير دولة لشؤون تعزيز النزاهة.,محمد عبدالرحمن بوزبر,position_held,وزير العدل,وزير العدل,<bor> محمد عبدالرحمن بوزبر <per> وزير العدل <concept> position held <rt> وزير العدل <e>,train
65,فيصل عبدالحميد الصانع عضو مجلس الامه.,فيصل عبدالحميد الصانع,position_held,عضو مجلس الامه,عضو مجلس الامه,<bor> فيصل عبدالحميد الصانع <per> عضو مجلس الامه <concept> position held <rt> عضو مجلس الامه <e>,test
66,خليفه مساعد حماده سياسي كويتي.,خليفه مساعد حماده,position_held,سياسي كويتي,سياسي كويتي,<bor> خليفه مساعد حماده <per> سياسي كويتي <concept> position held <rt> سياسي كويتي <e>,train
67,الاستيناف تؤيد حبس النائب السابق ماجد المطيري.,ماجد المطيري,position_held,النائب السابق,النائب السابق,<bor> ماجد المطيري <per> النائب السابق <concept> position held <rt> النائب السابق <e>,train
68,عبدالعزيز طارق حمود عبدالعزيز الصقعبي عضو مجلس الامه 2020.,عبدالعزيز طارق حمود عبدالعزيز الصقعبي,position_held,عضو مجلس الامه 2020,عضو مجلس الامه 2020,<bor> عبدالعزيز طارق حمود عبدالعزيز الصقعبي <per> عضو مجلس الامه 2020 <concept> position held <rt> عضو مجلس الامه 2020 <e>,train
69,حسام عبدالله عبدالوهاب حسين الرومي وزير الدولة للشؤون البلدية.,حسام عبدالله عبدالوهاب حسين الرومي,position_held,وزير الدولة للشؤون البلدية,وزير الدولة للشؤون البلدية,<bor> حسام عبدالله عبدالوهاب حسين الرومي <per> وزير الدولة للشؤون البلدية <concept> position held <rt> وزير الدولة للشؤون البلدية <e>,test
70,جاسر خالد الجاسر الراجحي نائب سابق في البرلمان.,جاسر خالد الجاسر الراجحي,position_held,نائب سابق في البرلمان,نائب سابق في البرلمان,<bor> جاسر خالد الجاسر الراجحي <per> نائب سابق في البرلمان <concept> position held <rt> نائب سابق في البرلمان <e>,train
71,عايض علوش عوض المطيري سياسي.,عايض علوش عوض المطيري,position_held,سياسي,سياسي,<bor> عايض علوش عوض المطيري <per> سياسي <concept> position held <rt> سياسي <e>,train
72,النائب خلف العتيبي.,خلف العتيبي,position_held,نائب,النائب خلف العتيبي,<bor> خلف العتيبي <per> نائب <concept> position held <rt> النائب خلف العتيبي <e>,train
73,يوسف خالد المخلد المطيري نائب سابق في مجلس الأمة الكويتي.,يوسف خالد المخلد المطيري,position_held,نائب سابق في مجلس الأمة الكويتي,نائب سابق في مجلس الأمة الكويتي,<bor> يوسف خالد المخلد المطيري <per> نائب سابق في مجلس الأمة الكويتي <concept> position held <rt> نائب سابق في مجلس الأمة الكويتي <e>,train
74,جنان محسن حسن رمضان بوشهري وزيره الاشغال.,جنان محسن حسن رمضان بوشهري,position_held,وزيره الاشغال,وزيره الاشغال,<bor> جنان محسن حسن رمضان بوشهري <per> وزيره الاشغال <concept> position held <rt> وزيره الاشغال <e>,train
75,معالي الدكتورة أمثال هادي هايف الحويلة تتولى الرئاسة.,أمثال هادي هايف الحويلة,position_held,رئيسة,تتولى الرئاسة,<bor> أمثال هادي هايف الحويلة <per> رئيسة <concept> position held <rt> تتولى الرئاسة <e>,train
76,عبد الله مشاري الروضان سياسي.,عبد الله مشاري الروضان,position_held,سياسي,سياسي,<bor> عبد الله مشاري الروضان <per> سياسي <concept> position held <rt> سياسي <e>,train
77,جمعان محمد ناصر الحريتي نجح في انتخابات المجلس الوطني الكويتي 1990.,جمعان محمد ناصر الحريتي,position_held,عضو في المجلس الوطني الكويتي,نجح في انتخابات المجلس الوطني الكويتي,<bor> جمعان محمد ناصر الحريتي <per> عضو في المجلس الوطني الكويتي <concept> position held <rt> نجح في انتخابات المجلس الوطني الكويتي <e>,validation
78,جمعان ظاهر ماضي الحربش سياسي.,جمعان ظاهر ماضي الحربش,position_held,سياسي,سياسي,<bor> جمعان ظاهر ماضي الحربش <per> سياسي <concept> position held <rt> سياسي <e>,train
79,مسعود سعد هملان الهملان سياسي.,مسعود سعد هملان الهملان,position_held,سياسي,سياسي,<bor> مسعود سعد هملان الهملان <per> سياسي <concept> position held <rt> سياسي <e>,test
80,بدر زايد حمد الداهوم العازمي هو رئيس المكتب السياسي لتجمع ثوابت الأمة.,بدر زايد حمد الداهوم العازمي,position_held,رئيس المكتب السياسي لتجمع ثوابت الأمة,هو رئيس المكتب السياسي لتجمع ثوابت الأمة,<bor> بدر زايد حمد الداهوم العازمي <per> رئيس المكتب السياسي لتجمع ثوابت الأمة <concept> position held <rt> هو رئيس المكتب السياسي لتجمع ثوابت الأمة <e>,train
81,بدر ضاحي العجيل نائب سابق في مجلس الأمة الكويتي.,بدر ضاحي العجيل,position_held,نائب سابق في مجلس الأمة الكويتي,نائب سابق في مجلس الأمة الكويتي,<bor> بدر ضاحي العجيل <per> نائب سابق في مجلس الأمة الكويتي <concept> position held <rt> نائب سابق في مجلس الأمة الكويتي <e>,train
82,مبارك سالم مبارك ناصر الحريص سياسي.,مبارك سالم مبارك ناصر الحريص,position_held,سياسي,سياسي,<bor> مبارك سالم مبارك ناصر الحريص <per> سياسي <concept> position held <rt> سياسي <e>,train
83,الفريق الركن سلطان المطيري.,سلطان المطيري,position_held,الفريق الركن,الفريق الركن سلطان المطيري,<bor> سلطان المطيري <per> الفريق الركن <concept> position held <rt> الفريق الركن سلطان المطيري <e>,validation
84,خالد محمد شديد الطاحوس سياسي.,خالد محمد شديد الطاحوس,position_held,سياسي,سياسي,<bor> خالد محمد شديد الطاحوس <per> سياسي <concept> position held <rt> سياسي <e>,train
85,خالد مشعان منيخر طاحوس عضو مجلس الامه الكويتي.,خالد مشعان منيخر طاحوس,position_held,عضو مجلس الامه الكويتي,عضو مجلس الامه الكويتي,<bor> خالد مشعان منيخر طاحوس <per> عضو مجلس الامه الكويتي <concept> position held <rt> عضو مجلس الامه الكويتي <e>,train
86,يعين اللواء ركن مهندس متقاعد محمد عبد العزيز سعود بوعركي.,محمد عبد العزيز سعود بوعركي,position_held,اللواء ركن مهندس متقاعد,يعين اللواء ركن مهندس متقاعد محمد عبد العزيز سعود بوعركي,<bor> محمد عبد العزيز سعود بوعركي <per> اللواء ركن مهندس متقاعد <concept> position held <rt> يعين اللواء ركن مهندس متقاعد محمد عبد العزيز سعود بوعركي <e>,test
87,علي سالم جعيلان الدقباسي رئيس البرلمان العربي سابقا.,علي سالم جعيلان الدقباسي,position_held,رئيس البرلمان العربي سابقا,رئيس البرلمان العربي سابقا,<bor> علي سالم جعيلان الدقباسي <per> رئيس البرلمان العربي سابقا <concept> position held <rt> رئيس البرلمان العربي سابقا <e>,test
88,مصلح هميجان مرشد العازمي سياسي.,مصلح هميجان مرشد العازمي,position_held,سياسي,سياسي,<bor> مصلح هميجان مرشد العازمي <per> سياسي <concept> position held <rt> سياسي <e>,train
89,موسى حسين عبدالله حسن الصراف عضو في جمعية المهندسين الكويتية.,موسى حسين عبدالله حسن الصراف,position_held,عضو في جمعية المهندسين الكويتية,عضو في جمعية المهندسين الكويتية,<bor> موسى حسين عبدالله حسن الصراف <per> عضو في جمعية المهندسين الكويتية <concept> position held <rt> عضو في جمعية المهندسين الكويتية <e>,train
90,سليمان سعدون البدر وزير التربية.,سليمان سعدون البدر,position_held,وزير التربية,وزير التربية,<bor> سليمان سعدون البدر <per> وزير التربية <concept> position held <rt> وزير التربية <e>,test
91,متعب ناصر محمد الجلال سعود السهلي له سيرة برلمانية.,متعب ناصر محمد الجلال سعود السهلي,position_held,برلماني,له سيرة برلمانية,<bor> متعب ناصر محمد الجلال سعود السهلي <per> برلماني <concept> position held <rt> له سيرة برلمانية <e>,train
92,سعد الحريتي هو الملحق العسكري الكويتي في بلجيكا.,سعد الحريتي,position_held,الملحق العسكري الكويتي في بلجيكا,هو الملحق العسكري الكويتي في بلجيكا,<bor> سعد الحريتي <per> الملحق العسكري الكويتي في بلجيكا <concept> position held <rt> هو الملحق العسكري الكويتي في بلجيكا <e>,train
93,طلال مبارك العيار سياسي.,طلال مبارك العيار,position_held,سياسي,سياسي,<bor> طلال مبارك العيار <per> سياسي <concept> position held <rt> سياسي <e>,train
94,فهد صالح ناصر محمد الخنه هو سياسي كويتي.,فهد صالح ناصر محمد الخنه,position_held,سياسي كويتي,هو سياسي كويتي,<bor> فهد صالح ناصر محمد الخنه <per> سياسي كويتي <concept> position held <rt> هو سياسي كويتي <e>,train
95,مبارك بنيه خلف حمدان العرف سياسي.,مبارك بنيه خلف حمدان العرف,position_held,سياسي,سياسي,<bor> مبارك بنيه خلف حمدان العرف <per> سياسي <concept> position held <rt> سياسي <e>,train
96,وليد خالد فهد الجري نايب سابق في مجلس الامه.,وليد خالد فهد الجري,position_held,نايب سابق في مجلس الامه,نايب سابق في مجلس الامه,<bor> وليد خالد فهد الجري <per> نايب سابق في مجلس الامه <concept> position held <rt> نايب سابق في مجلس الامه <e>,test
97,عبدالله عبدالرحمن عبدالله الطويل وزير الصحه.,عبدالله عبدالرحمن عبدالله الطويل,position_held,وزير الصحه,وزير الصحه,<bor> عبدالله عبدالرحمن عبدالله الطويل <per> وزير الصحه <concept> position held <rt> وزير الصحه <e>,train
